שם רשות מקומית,שנה,"שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים",אחוז השכירים המשתכרים עד שכר מינימום,אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,"מדד אי-השוויון שכירים (מדד ג'יני, 0 שוויון מלא)"
רמלה,2019,"8,094.20",38.3,37.8,0.4
רמלה,2018,"7,825.50",39,40.6,0.4
רמלה,2017,"7,563.30",37.7,38.5,0.4
רמלה,2016,"7,102",39.6,38.8,0.3
רמלה,2015,"6,990",37.7,40.5,0.3
רמת גן,2019,"12,339.10",30.2,36.4,0.4
רמת גן,2018,"11,569.70",32.1,39.9,0.5
רמת גן,2017,"11,359.90",30.4,34.7,0.5
רמת גן,2016,"10,863",31.2,36.1,0.4
רמת גן,2015,"10,679",29.9,36.5,0.4
רמת השרון,2019,"14,348.30",30.9,35.4,0.5
רמת השרון,2018,"14,603.70",29.7,40.3,0.5
רמת השרון,2017,"14,451.10",28.6,33.2,0.5
רמת השרון,2016,"13,914",28.7,34.7,0.5
רמת השרון,2015,"13,937",27.4,35.3,0.5
רמת ישי,2019,"13,145.60",31.6,34.6,0.4
רמת ישי,2018,"13,061.70",31,41.1,0.5
רמת ישי,2017,"12,830.80",29.4,36.3,0.4
רמת ישי,2016,"12,330.40",31.1,40,0.4
רמת ישי,2015,"12,315.70",29.9,43.2,0.4
רעננה,2019,"12,925.80",34.2,36.6,0.5
רעננה,2018,"13,080.30",33.5,41,0.5
רעננה,2017,"12,897.70",32.5,36.8,0.5
רעננה,2016,"12,299",32.9,36.6,0.5
רעננה,2015,"12,229",31.6,35.7,0.5
שבלי - אום אל-גנם,2019,"6,708.00",47.9,29.7,0.3
שבלי - אום אל-גנם,2018,"6,768.80",46.2,34.1,0.4
שבלי - אום אל-גנם,2017,"6,563.90",46.3,34.2,0.4
שבלי - אום אל-גנם,2016,"6,222.10",46.5,35.6,0.3
שבלי - אום אל-גנם,2015,"6,033.70",46,34.4,0.3
שגב-שלום,2019,"5,533.00",56.3,47.1,0.3
שגב-שלום,2018,"5,716.10",55,50,0.4
שגב-שלום,2017,"5,412.10",53.4,49.4,0.3
שגב-שלום,2016,"5,091.00",55.8,52.1,0.3
שגב-שלום,2015,"4,907.90",56.4,55.7,0.3
שדרות,2019,"8,424.60",38.6,35.6,0.4
שדרות,2018,"8,180.00",40,36.8,0.4
שדרות,2017,"7,791.00",39.4,34.6,0.4
שדרות,2016,"7,201",41.7,38.2,0.4
שדרות,2015,"6,962",41.4,42.7,0.4
שוהם,2019,"14,543.90",31.8,28.8,0.5
שוהם,2018,"15,412.70",28.9,31.5,0.5
שוהם,2017,"15,179.90",27.5,30.7,0.5
שוהם,2016,"14,689.70",28.6,30.3,0.5
שוהם,2015,"14,725.80",26.5,30.2,0.4
שלומי,2019,"9,337.70",35.8,39.2,0.4
שלומי,2018,"9,398.30",35.1,38.5,0.4
שלומי,2017,"8,925.20",35.1,32.4,0.4
שלומי,2016,"8,164.70",38.2,38.5,0.4
שלומי,2015,"8,077.00",35.8,38.6,0.4
שעב,2019,"6,097.50",54.2,46.3,0.3
שעב,2018,"5,972.60",54.1,51.7,0.4
שעב,2017,"5,720.70",54,50,0.4
שעב,2016,"4,032","4,032","4,032","4,032"
שעב,2015,"5,312.00",52.6,60,0.3
שפרעם,2019,"7,105.60",49.6,37.7,0.4
שפרעם,2018,"6,911.30",49.9,41.6,0.4
שפרעם,2017,"6,701.80",49.1,40.3,0.4
שפרעם,2016,"6,236",50.7,41.1,0.4
שפרעם,2015,"6,142",48.8,41.8,0.4
תל אביב -יפו,2019,"12,590.90",31.4,36.7,0.5
תל אביב -יפו,2018,"12,273.30",33.1,40.4,0.5
תל אביב -יפו,2017,"11,606.00",32.1,36.6,0.5
תל אביב -יפו,2016,"11,017",33.2,37.1,0.5
תל אביב -יפו,2015,"10,808",31.9,37.5,0.5
תל מונד,2019,"13,787.60",34.6,33.8,0.5
תל מונד,2018,"14,684.60",31.6,34.2,0.5
תל מונד,2017,"14,516.80",31,32.1,0.5
תל מונד,2016,"13,983.00",31.5,28.2,0.5
תל מונד,2015,"14,056.70",28.5,31,0.5
תל שבע,2019,"5,288.00",60.6,38.7,0.4
תל שבע,2018,"5,429.10",60,36.4,0.4
תל שבע,2017,"5,278.40",59.2,37.8,0.4
תל שבע,2016,"4,983.90",60.5,31.5,0.4
תל שבע,2015,"5,083.20",55.7,38.5,0.4
,,,,,
