שם רשות מקומית,שנה,"שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים",אחוז השכירים המשתכרים עד שכר מינימום,אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,"מדד אי-השוויון שכירים (מדד ג'יני, 0 שוויון מלא)"
בית ג'ן,2017,"7,199.40",52.5,59.8,0.4
בית ג'ן,2016,"6,338.00",56.5,60.2,0.4
בית ג'ן,2015,"6,508.60",54.2,59.7,0.4
בית דגן,2019,"10,489.60",34.6,31.7,0.4
בית דגן,2018,"10,534.10",33.7,33.2,0.4
בית דגן,2017,"10,432.10",31.8,30.7,0.4
בית דגן,2016,"9,820.60",34.3,29.5,0.4
בית דגן,2015,"9,816.80",32.3,35.3,0.4
בית שאן,2019,"8,107.60",38.7,39,0.4
בית שאן,2018,"7,713.70",40.4,43.6,0.4
בית שאן,2017,"7,533.80",39.5,36.4,0.4
בית שאן,2016,"6,994",41.6,36.4,0.4
בית שאן,2015,"6,990",39.6,38.8,0.4
בית שמש,2019,"7,298.80",50.2,46.9,0.4
בית שמש,2018,"7,163.30",50.4,50.4,0.4
בית שמש,2017,"7,028.70",49,50,0.4
בית שמש,2016,"6,682",50.1,49.3,0.4
בית שמש,2015,"6,569",48.4,48.9,0.4
ביתר עילית,2019,"5,314.50",60.7,49.3,0.4
ביתר עילית,2018,"5,373.70",59.6,51.9,0.4
ביתר עילית,2017,"5,128.20",59.7,54.1,0.4
ביתר עילית,2016,"4,780",61.6,49,0.4
ביתר עילית,2015,"4,667",60,53.2,0.4
בני ברק,2019,"6,468.90",51.9,48.4,0.4
בני ברק,2018,"6,224.00",53.3,51.7,0.4
בני ברק,2017,"6,036.70",52.4,50.9,0.4
בני ברק,2016,"5,691",53.7,48.9,0.4
בני ברק,2015,"5,577",52.2,49.6,0.4
"בני עי""ש",2019,"8,419.20",36.4,42.8,0.4
"בני עי""ש",2018,"8,241.80",36.3,47.7,0.4
"בני עי""ש",2017,"8,040.70",35.2,48.3,0.4
"בני עי""ש",2016,"7,539.80",37.8,47.5,0.4
"בני עי""ש",2015,"7,495.30",35.3,45.2,0.4
בנימינה-גבעת עדה*,2019,"13,951.20",32.9,35.5,0.5
בנימינה-גבעת עדה*,2018,"14,477.60",31.7,36.8,0.5
בנימינה-גבעת עדה*,2017,"14,088.00",30.4,34.5,0.5
בנימינה-גבעת עדה*,2016,"13,552.20",29.5,37.7,0.5
בנימינה-גבעת עדה*,2015,"13,585.20",27.6,39.2,0.5
"בסמ""ה",2019,"6,175.80",55.6,40.1,0.4
"בסמ""ה",2018,"6,236.50",55.2,42.1,0.4
"בסמ""ה",2017,"5,978.90",54.8,39.4,0.4
"בסמ""ה",2016,"5,759.70",54,41.5,0.4
"בסמ""ה",2015,"5,617.30",52.2,43.8,0.4
בסמת טבעון,2019,"6,491.10",49.9,39.6,0.4
בסמת טבעון,2018,"6,583.90",47.9,41.8,0.4
בסמת טבעון,2017,"6,230.00",47.9,41.2,0.4
בסמת טבעון,2016,"5,894.40",49.5,41.2,0.3
בסמת טבעון,2015,"5,673.10",47.9,46.9,0.3
בענה,2019,"5,702.50",60.4,33.7,0.4
בענה,2018,"5,499.20",60.3,36.4,0.4
בענה,2017,"5,315.80",60.3,38.1,0.4
בענה,2016,"4,998.50",61.1,37.3,0.4
בענה,2015,"4,849.00",59.8,40.3,0.4
בת ים,2019,"8,233.30",38.5,43.1,0.4
בת ים,2018,"7,732.20",40.2,49.2,0.4
בת ים,2017,"7,562.00",38.4,43.4,0.4
בת ים,2016,"7,164",39.9,45.3,0.4
בת ים,2015,"7,016",38.4,45.6,0.4
גבעת זאב,2019,"9,420.60",38.8,42,0.4
גבעת זאב,2018,"8,953.40",40.5,45.4,0.4
גבעת זאב,2017,"8,820.80",39.8,41.1,0.4
גבעת זאב,2016,"8,531.60",39.9,41.7,0.4
גבעת זאב,2015,"8,354.50",39.4,41.1,0.4
גבעת שמואל,2019,"13,311.40",31.8,36.6,0.5
גבעת שמואל,2018,"13,281.60",31.4,35.3,0.5
גבעת שמואל,2017,"13,114.40",29.9,30.8,0.5
גבעת שמואל,2016,"12,520",30.8,31.9,0.5
גבעת שמואל,2015,"12,470",28.8,29.4,0.5
גבעתיים,2019,"14,053.00",27.1,33.7,0.4
גבעתיים,2018,"13,304.30",28,36.9,0.5
גבעתיים,2017,"13,133.40",26.2,31.9,0.4
גבעתיים,2016,"12,434",27,32.8,0.4
גבעתיים,2015,"12,207",26,33,0.4
ג'דיידה-מכר,2019,"6,258.60",54.4,37.2,0.4
ג'דיידה-מכר,2018,"6,229.10",53.5,39.7,0.4
ג'דיידה-מכר,2017,"5,971.60",53.1,37.4,0.4
ג'דיידה-מכר,2016,"5,661.60",53.5,38.9,0.4
ג'דיידה-מכר,2015,"5,462.70",52.9,45.6,0.4
גדרה,2019,"11,726.30",33.6,34.6,0.4
גדרה,2018,"12,021.20",31.4,34.4,0.4
גדרה,2017,"11,791.20",29.9,29.1,0.4
גדרה,2016,"11,129.10",31.2,32.5,0.4
גדרה,2015,"11,462.10",28.6,33.4,0.4
ג'ולס,2019,"8,365.50",46.5,59.9,0.4
ג'ולס,2018,"8,235.70",46.2,63,0.4
ג'ולס,2017,"8,042.60",44.6,64.7,0.4
ג'ולס,2016,"7,251.60",47.8,70.8,0.4
ג'ולס,2015,"7,438.10",45.7,69.4,0.4
ג'לג'וליה,2019,"5,830.00",55.7,41,0.3
ג'לג'וליה,2018,"5,782.60",56.9,45.3,0.4
ג'לג'וליה,2017,"5,483.70",56.6,47.7,0.4
ג'לג'וליה,2016,"5,190.90",58.6,46.9,0.4
ג'לג'וליה,2015,"5,044.10",56.4,52.1,0.4
גן יבנה,2019,"11,358.80",34.5,35.6,0.4
גן יבנה,2018,"11,794.70",31.8,35.2,0.4
גן יבנה,2017,"11,437.10",31.5,31.2,0.4
גן יבנה,2016,"10,904.60",31.9,33.2,0.4
גן יבנה,2015,"10,942.90",30.4,34,0.4
גני תקווה,2019,"14,415.30",29.6,34.4,0.5
גני תקווה,2018,"14,720.00",27.1,35.6,0.5
גני תקווה,2017,"14,354.20",26.1,27.9,0.5
גני תקווה,2016,"13,710.80",27.2,30.9,0.5
גני תקווה,2015,"13,436.30",25.8,30.4,0.5
ג'סר א-זרקא,2019,"5,766.80",49.9,44.7,0.3
ג'סר א-זרקא,2018,"5,815.90",48.4,55.2,0.3
ג'סר א-זרקא,2017,"5,491.90",48.3,55,0.3
ג'סר א-זרקא,2016,"5,076.20",51.2,50.5,0.3
ג'סר א-זרקא,2015,"4,869.80",49.9,51.3,0.3
ג'ש (גוש חלב),2019,"8,899.90",37.2,38.5,0.4
ג'ש (גוש חלב),2018,"8,811.00",37.1,40.4,0.4
ג'ש (גוש חלב),2017,"8,482.20",37.4,42.8,0.4
ג'ש (גוש חלב),2016,"8,039.90",39.7,40.2,0.4
ג'ש (גוש חלב),2015,"7,735.00",37.7,42.2,0.4
ג'ת,2019,"8,069.10",43.4,41.5,0.4
ג'ת,2018,"7,970.60",42.7,46.9,0.4
ג'ת,2017,"7,726.80",42.5,45.7,0.4
ג'ת,2016,"7,286.80",43.1,45.5,0.4
ג'ת,2015,"7,148.30",40.9,45.7,0.4
דאלית אל-כרמל,2019,"8,106.30",43.7,47.8,0.4
דאלית אל-כרמל,2018,"8,024.40",44,48.7,0.4
דאלית אל-כרמל,2017,"7,730.30",43.3,49.5,0.4
דאלית אל-כרמל,2016,"7,058.00",46.4,50.8,0.4
דאלית אל-כרמל,2015,"7,067.50",44.3,50.7,0.4
דבורייה,2019,"7,037.60",50.5,37.8,0.4
דבורייה,2018,"6,970.20",50.2,37.1,0.4
דבורייה,2017,"6,716.70",50,40,0.4
דבורייה,2016,"6,530.80",48.9,38.6,0.4
דבורייה,2015,"6,312.20",46.5,40.9,0.4
דייר אל-אסד,2019,"7,697.70",45.9,35.9,0.4
דייר אל-אסד,2018,"7,162.20",48,39.9,0.4
